PCM_type_Wall,Thickness_Wall,Melting_Point_Wall,PCM_type_Roof,Thickness_Roof,Melting_Point_Roof,Roof_PCM_Position,wall_PCM_Position,IDD,EUI,TL,city,pareto,TL_phase
1.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,5.02514,46.974,0.0,Ardebial,False,0.0
0.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,5.052508,46.825,0.0,Ardebial,False,0.0
1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.858312,45.685,0.0,Ardebial,False,0.0
0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
0.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,4.963331,46.379,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,5.081378,47.569,1.0,Ardebial,False,1.0
0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,5.070177,47.47,0.0,Ardebial,False,0.0
1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.079325,47.669,1.0,Ardebial,False,1.0
1.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,5.076017,47.569,0.0,Ardebial,False,0.0
1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.081378,47.569,1.0,Ardebial,False,1.0
0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,5.103487,47.867,1.0,Ardebial,False,1.0
0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
1.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,5.09986,47.917,1.0,Ardebial,False,1.0
1.0,0.0,3.0,0.0,2.0,4.0,2.0,1.0,5.063844,47.47,0.0,Ardebial,False,0.0
0.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0,5.068088,47.321,1.0,Ardebial,False,1.0
0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.094872,47.768,1.0,Ardebial,False,1.0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.009467,46.875,0.0,Ardebial,False,0.0
0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,5.077814,47.371,1.0,Ardebial,False,1.0
1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,5.11513,47.718,1.0,Ardebial,False,1.0
0.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,4.978835,47.024,0.0,Ardebial,False,0.0
1.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,5.060054,47.321,0.0,Ardebial,False,0.0
1.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,5.017649,46.974,0.0,Ardebial,False,0.0
1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,4.858312,45.685,0.0,Ardebial,False,0.0
1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,5.008374,46.875,0.0,Ardebial,False,0.0
0.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
1.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,5.09497,47.768,1.0,Ardebial,False,1.0
1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,5.008374,46.875,0.0,Ardebial,False,0.0
0.0,3.0,4.0,1.0,3.0,2.0,0.0,1.0,4.995865,46.429,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,5.016142,46.925,0.0,Ardebial,False,0.0
0.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.957908,46.528,0.0,Ardebial,False,0.0
1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,5.07557,47.52,1.0,Ardebial,False,1.0
0.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,5.131176,47.569,1.0,Ardebial,True,1.0
1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.007505,46.875,0.0,Ardebial,False,0.0
1.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,4.949847,46.23,0.0,Ardebial,False,0.0
1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,4.979881,46.825,0.0,Ardebial,False,0.0
1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,5.083407,47.718,1.0,Ardebial,False,1.0
0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,5.098033,47.718,1.0,Ardebial,False,1.0
1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,4.916977,46.329,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,5.091893,47.371,1.0,Ardebial,False,1.0
1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,4.862559,45.585,0.0,Ardebial,False,0.0
0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,5.095901,47.52,0.0,Ardebial,False,0.0
0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,5.084524,47.123,0.0,Ardebial,False,0.0
1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,5.054907,46.875,0.0,Ardebial,False,0.0
0.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,4.943161,46.329,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,2.0,4.0,1.0,0.0,5.071764,47.421,1.0,Ardebial,False,1.0
0.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,5.036313,47.024,1.0,Ardebial,False,1.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,5.101354,47.321,0.0,Ardebial,False,0.0
0.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,5.063149,47.47,1.0,Ardebial,False,1.0
0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.110061,47.768,1.0,Ardebial,False,1.0
0.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,5.068088,47.321,1.0,Ardebial,False,1.0
0.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,5.001711,46.825,0.0,Ardebial,False,0.0
1.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,4.97248,46.28,1.0,Ardebial,False,1.0
1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,5.066909,46.528,1.0,Ardebial,False,1.0
0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,5.029247,46.974,0.0,Ardebial,False,0.0
1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,5.065858,47.421,0.0,Ardebial,False,0.0
1.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,5.08247,47.669,1.0,Ardebial,False,1.0
0.0,1.0,3.0,0.0,3.0,4.0,1.0,0.0,5.098317,47.768,1.0,Ardebial,False,1.0
0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,5.130452,47.669,1.0,Ardebial,True,1.0
0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
1.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,5.066344,46.974,1.0,Ardebial,False,1.0
0.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,5.063096,47.024,0.0,Ardebial,False,0.0
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.131176,47.569,1.0,Ardebial,True,1.0
0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,5.121457,47.768,1.0,Ardebial,False,1.0
1.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,4.924006,46.28,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,5.079301,47.52,1.0,Ardebial,False,1.0
0.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,5.071677,47.47,1.0,Ardebial,False,1.0
0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,5.077359,47.569,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.030078,47.024,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,5.081378,47.569,1.0,Ardebial,False,1.0
0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
0.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,5.001711,46.825,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,5.033931,47.123,0.0,Ardebial,False,0.0
1.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,4.981461,46.23,1.0,Ardebial,False,1.0
1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,5.084356,47.718,1.0,Ardebial,False,1.0
1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.076017,47.569,0.0,Ardebial,False,0.0
1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.09497,47.768,1.0,Ardebial,False,1.0
0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,5.090735,47.768,1.0,Ardebial,False,1.0
0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,5.100758,47.222,1.0,Ardebial,False,1.0
1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,4.919376,46.429,0.0,Ardebial,False,0.0
0.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,5.015395,46.429,0.0,Ardebial,False,0.0
1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,5.08328,47.669,1.0,Ardebial,False,1.0
1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,5.066909,46.528,1.0,Ardebial,False,1.0
1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,5.084524,47.123,0.0,Ardebial,False,0.0
1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,5.009467,46.875,0.0,Ardebial,False,0.0
0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,5.050142,47.123,1.0,Ardebial,False,1.0
0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.967999,46.627,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.045634,47.073,0.0,Ardebial,False,0.0
1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,5.099813,47.52,1.0,Ardebial,False,1.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.979881,46.825,0.0,Ardebial,False,0.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,5.042152,47.173,1.0,Ardebial,False,1.0
0.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
0.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,4.950538,46.429,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,5.017649,46.974,0.0,Ardebial,False,0.0
1.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,5.03315,47.123,0.0,Ardebial,False,0.0
