time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
20/09/26 15:22:58,1,2,3,0,1,3,1,2,5.02514,46.974,0
20/09/26 15:22:58,1,2,3,0,1,3,1,2,5.02514,46.974,0
20/09/26 15:22:58,1,2,3,0,1,3,1,2,5.02514,46.974,0
20/09/26 15:23:13,0,3,3,0,2,2,1,1,5.036634,47.073,0
20/09/26 15:23:13,0,3,3,0,2,2,1,1,5.036634,47.073,0
20/09/26 15:23:13,0,3,3,0,2,2,1,1,5.036634,47.073,0
20/09/26 15:23:28,1,2,2,1,1,2,0,2,5.052508,46.825,0
20/09/26 15:23:28,1,2,2,1,1,2,0,2,5.052508,46.825,0
20/09/26 15:23:28,1,2,2,1,1,2,0,2,5.052508,46.825,0
20/09/26 15:23:45,1,2,2,1,3,1,1,1,4.858312,45.685,0
20/09/26 15:23:45,1,2,2,1,3,1,1,1,4.858312,45.685,0
20/09/26 15:23:45,1,2,2,1,3,1,1,1,4.858312,45.685,0
20/09/26 15:24:01,0,0,3,0,2,1,1,1,5.036634,47.073,0
20/09/26 15:24:01,0,0,3,0,2,1,1,1,5.036634,47.073,0
20/09/26 15:24:01,0,0,3,0,2,1,1,1,5.036634,47.073,0
20/09/26 15:24:16,0,3,4,1,0,3,2,2,4.963331,46.379,0
20/09/26 15:24:16,0,3,4,1,0,3,2,2,4.963331,46.379,0
20/09/26 15:24:16,0,3,4,1,0,3,2,2,4.963331,46.379,0
20/09/26 15:24:32,1,2,2,0,0,3,1,0,5.081378,47.569,1
20/09/26 15:24:32,1,2,2,0,0,3,1,0,5.081378,47.569,1
20/09/26 15:24:32,1,2,2,0,0,3,1,0,5.081378,47.569,1
20/09/26 15:24:46,0,0,3,0,1,2,2,1,5.070177,47.47,0
20/09/26 15:24:46,0,0,3,0,1,2,2,1,5.070177,47.47,0
20/09/26 15:24:46,0,0,3,0,1,2,2,1,5.070177,47.47,0
20/09/26 15:25:02,1,0,0,0,1,4,1,1,5.079325,47.669,1
