time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
20/09/26 18:20:46,0,3,2,0,2,2,2,1,11.781058,167.857,-16
20/09/26 18:20:46,0,3,2,0,2,2,2,1,11.781058,167.857,-16
20/09/26 18:20:46,0,3,2,0,2,2,2,1,11.781058,167.857,-16
20/09/26 18:21:06,0,1,2,1,1,3,2,2,11.797359,168.8,-16
20/09/26 18:21:06,0,1,2,1,1,3,2,2,11.797359,168.8,-16
20/09/26 18:21:06,0,1,2,1,1,3,2,2,11.797359,168.8,-16
20/09/26 18:21:28,0,3,1,0,3,2,1,1,11.753248,168.403,0
20/09/26 18:21:28,0,3,1,0,3,2,1,1,11.753248,168.403,0
20/09/26 18:21:28,0,3,1,0,3,2,1,1,11.753248,168.403,0
20/09/26 18:21:49,0,1,2,1,1,4,2,0,11.812959,169.345,-16
20/09/26 18:21:49,0,1,2,1,1,4,2,0,11.812959,169.345,-16
20/09/26 18:21:49,0,1,2,1,1,4,2,0,11.812959,169.345,-16
20/09/26 18:22:11,0,2,1,0,2,3,0,1,11.971548,172.073,-16
20/09/26 18:22:11,0,2,1,0,2,3,0,1,11.971548,172.073,-16
20/09/26 18:22:11,0,2,1,0,2,3,0,1,11.971548,172.073,-16
20/09/26 18:22:27,0,3,3,0,2,4,2,1,11.781058,167.857,-16
20/09/26 18:22:27,0,3,3,0,2,4,2,1,11.781058,167.857,-16
20/09/26 18:22:27,0,3,3,0,2,4,2,1,11.781058,167.857,-16
20/09/26 18:22:41,0,2,2,0,1,1,2,2,11.790341,167.708,-16
20/09/26 18:22:41,0,2,2,0,1,1,2,2,11.790341,167.708,-16
20/09/26 18:22:41,0,2,2,0,1,1,2,2,11.790341,167.708,-16
20/09/26 18:22:58,1,3,4,0,0,3,1,1,11.796766,168.8,0
20/09/26 18:22:58,1,3,4,0,0,3,1,1,11.796766,168.8,0
20/09/26 18:22:58,1,3,4,0,0,3,1,1,11.796766,168.8,0
20/09/26 18:23:15,0,1,3,1,2,1,0,0,11.978839,172.173,-16
20/09/26 18:23:15,0,1,3,1,2,1,0,0,11.978839,172.173,-16
20/09/26 18:23:15,0,1,3,1,2,1,0,0,11.978839,172.173,-16
20/09/26 18:23:30,0,2,2,1,1,2,0,0,11.902943,170.883,0
