time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
20/09/26 12:41:40,0,1,0,0,3,4,1,0,7.986023,79.266,-3
20/09/26 12:41:40,0,1,0,0,3,4,1,0,7.986023,79.266,-3
20/09/26 12:41:40,0,1,0,0,3,4,1,0,7.986023,79.266,-3
20/09/26 12:42:12,0,2,3,0,3,2,0,2,8.052329,81.597,-3
20/09/26 12:42:12,0,2,3,0,3,2,0,2,8.052329,81.597,-3
20/09/26 12:42:12,0,2,3,0,3,2,0,2,8.052329,81.597,-3
20/09/26 12:42:43,1,3,4,1,3,2,1,2,7.798875,78.869,-3
20/09/26 12:42:43,1,3,4,1,3,2,1,2,7.798875,78.869,-3
20/09/26 12:42:43,1,3,4,1,3,2,1,2,7.798875,78.869,-3
20/09/26 12:43:03,0,1,1,1,1,3,1,0,7.982672,79.266,-3
20/09/26 12:43:03,0,1,1,1,1,3,1,0,7.982672,79.266,-3
20/09/26 12:43:03,0,1,1,1,1,3,1,0,7.982672,79.266,-3
20/09/26 12:43:31,1,0,4,1,1,4,2,1,7.948553,79.415,-3
20/09/26 12:43:31,1,0,4,1,1,4,2,1,7.948553,79.415,-3
20/09/26 12:43:31,1,0,4,1,1,4,2,1,7.948553,79.415,-3
20/09/26 12:43:50,0,2,1,1,2,0,0,0,8.127128,81.3,-3
20/09/26 12:43:50,0,2,1,1,2,0,0,0,8.127128,81.3,-3
20/09/26 12:43:50,0,2,1,1,2,0,0,0,8.127128,81.3,-3
20/09/26 12:44:08,0,2,0,1,1,1,1,1,7.92519,79.117,-3
20/09/26 12:44:08,0,2,0,1,1,1,1,1,7.92519,79.117,-3
20/09/26 12:44:08,0,2,0,1,1,1,1,1,7.92519,79.117,-3
20/09/26 12:44:27,1,2,2,0,1,2,1,0,7.966352,79.167,-3
20/09/26 12:44:27,1,2,2,0,1,2,1,0,7.966352,79.167,-3
20/09/26 12:44:27,1,2,2,0,1,2,1,0,7.966352,79.167,-3
20/09/26 12:44:46,1,2,1,1,2,2,1,1,7.899215,79.117,-3
20/09/26 12:44:46,1,2,1,1,2,2,1,1,7.899215,79.117,-3
20/09/26 12:44:46,1,2,1,1,2,2,1,1,7.899215,79.117,-3
20/09/26 12:45:05,0,2,0,1,3,1,2,1,7.867182,79.067,-3
20/09/26 12:45:05,0,2,0,1,3,1,2,1,7.867182,79.067,-3
20/09/26 12:45:05,0,2,0,1,3,1,2,1,7.867182,79.067,-3
20/09/26 12:45:24,1,0,0,1,1,3,1,1,7.949658,79.415,-3
20/09/26 12:45:24,1,0,0,1,1,3,1,1,7.949658,79.415,-3
20/09/26 12:45:24,1,0,0,1,1,3,1,1,7.949658,79.415,-3
20/09/26 12:45:44,1,3,1,1,2,1,1,1,7.8023,78.919,-3
20/09/26 12:45:45,1,3,1,1,2,1,1,1,7.8023,78.919,-3
20/09/26 12:45:45,1,3,1,1,2,1,1,1,7.8023,78.919,-3
20/09/26 12:46:06,1,1,3,0,1,3,1,2,7.95041,79.415,-3
20/09/26 12:46:06,1,1,3,0,1,3,1,2,7.95041,79.415,-3
20/09/26 12:46:06,1,1,3,0,1,3,1,2,7.95041,79.415,-3
20/09/26 12:46:36,1,0,0,1,0,4,1,0,8.000642,79.315,-3
20/09/26 12:46:36,1,0,0,1,0,4,1,0,8.000642,79.315,-3
20/09/26 12:46:36,1,0,0,1,0,4,1,0,8.000642,79.315,-3
20/09/26 12:46:56,0,0,3,0,1,4,1,0,7.986023,79.266,-3
20/09/26 12:46:56,0,0,3,0,1,4,1,0,7.986023,79.266,-3
20/09/26 12:46:56,0,0,3,0,1,4,1,0,7.986023,79.266,-3
20/09/26 12:47:16,0,1,4,0,3,3,1,0,7.986023,79.266,-3
20/09/26 12:47:16,0,1,4,0,3,3,1,0,7.986023,79.266,-3
20/09/26 12:47:16,0,1,4,0,3,3,1,0,7.986023,79.266,-3
20/09/26 12:47:36,1,2,3,0,0,1,1,2,7.927112,79.067,-3
20/09/26 12:47:36,1,2,3,0,0,1,1,2,7.927112,79.067,-3
20/09/26 12:47:36,1,2,3,0,0,1,1,2,7.927112,79.067,-3
20/09/26 12:47:54,1,1,2,1,0,3,1,1,7.949658,79.415,-3
20/09/26 12:47:54,1,1,2,1,0,3,1,1,7.949658,79.415,-3
20/09/26 12:47:54,1,1,2,1,0,3,1,1,7.949658,79.415,-3
20/09/26 12:48:14,1,1,3,0,2,0,0,0,8.131308,81.548,-3
20/09/26 12:48:14,1,1,3,0,2,0,0,0,8.131308,81.548,-3
20/09/26 12:48:14,1,1,3,0,2,0,0,0,8.131308,81.548,-3
20/09/26 12:48:32,0,1,2,0,3,0,1,1,7.956787,79.464,-3
20/09/26 12:48:32,0,1,2,0,3,0,1,1,7.956787,79.464,-3
20/09/26 12:48:32,0,1,2,0,3,0,1,1,7.956787,79.464,-3
20/09/26 12:48:50,1,1,2,0,1,2,1,2,7.95041,79.415,-3
20/09/26 12:48:50,1,1,2,0,1,2,1,2,7.95041,79.415,-3
20/09/26 12:48:50,1,1,2,0,1,2,1,2,7.95041,79.415,-3
20/09/26 12:49:08,1,2,2,1,1,1,0,0,8.120257,81.25,-3
20/09/26 12:49:08,1,2,2,1,1,1,0,0,8.120257,81.25,-3
20/09/26 12:49:08,1,2,2,1,1,1,0,0,8.120257,81.25,-3
20/09/26 12:49:25,0,2,1,1,2,3,2,2,7.900596,79.018,-3
20/09/26 12:49:25,0,2,1,1,2,3,2,2,7.900596,79.018,-3
20/09/26 12:49:25,0,2,1,1,2,3,2,2,7.900596,79.018,-3
20/09/26 12:49:43,1,1,3,1,1,0,1,1,7.949658,79.415,-3
20/09/26 12:49:43,1,1,3,1,1,0,1,1,7.949658,79.415,-3
20/09/26 12:49:43,1,1,3,1,1,0,1,1,7.949658,79.415,-3
20/09/26 12:50:01,0,0,4,0,2,1,0,1,8.029596,79.762,-3
20/09/26 12:50:01,0,0,4,0,2,1,0,1,8.029596,79.762,-3
20/09/26 12:50:01,0,0,4,0,2,1,0,1,8.029596,79.762,-3
20/09/26 12:50:19,1,3,2,1,0,1,2,2,7.796976,78.869,-3
20/09/26 12:50:19,1,3,2,1,0,1,2,2,7.796976,78.869,-3
20/09/26 12:50:19,1,3,2,1,0,1,2,2,7.796976,78.869,-3
20/09/26 12:50:38,1,2,3,1,2,3,1,0,7.944431,79.415,-3
20/09/26 12:50:38,1,2,3,1,2,3,1,0,7.944431,79.415,-3
20/09/26 12:50:38,1,2,3,1,2,3,1,0,7.944431,79.415,-3
20/09/26 12:50:56,0,2,3,0,0,2,0,1,8.029596,79.762,-3
20/09/26 12:50:56,0,2,3,0,0,2,0,1,8.029596,79.762,-3
20/09/26 12:50:56,0,2,3,0,0,2,0,1,8.029596,79.762,-3
20/09/26 12:51:15,0,1,0,0,2,4,0,2,8.047405,80.258,-3
20/09/26 12:51:15,0,1,0,0,2,4,0,2,8.047405,80.258,-3
20/09/26 12:51:15,0,1,0,0,2,4,0,2,8.047405,80.258,-3
20/09/26 12:51:33,0,1,2,1,1,0,0,2,8.051401,80.308,-3
20/09/26 12:51:33,0,1,2,1,1,0,0,2,8.051401,80.308,-3
20/09/26 12:51:33,0,1,2,1,1,0,0,2,8.051401,80.308,-3
20/09/26 12:51:50,0,1,4,1,2,3,1,0,7.962663,79.712,-3
20/09/26 12:51:50,0,1,4,1,2,3,1,0,7.962663,79.712,-3
20/09/26 12:51:50,0,1,4,1,2,3,1,0,7.962663,79.712,-3
20/09/26 12:52:09,0,1,2,0,1,1,1,2,7.953829,79.365,-3
20/09/26 12:52:09,0,1,2,0,1,1,1,2,7.953829,79.365,-3
20/09/26 12:52:09,0,1,2,0,1,1,1,2,7.953829,79.365,-3
20/09/26 12:52:30,0,2,1,0,1,2,1,2,7.953829,79.365,-3
20/09/26 12:52:30,0,2,1,0,1,2,1,2,7.953829,79.365,-3
20/09/26 12:52:30,0,2,1,0,1,2,1,2,7.953829,79.365,-3
20/09/26 12:52:48,1,2,1,0,0,1,0,2,7.969258,79.96,-3
20/09/26 12:52:48,1,2,1,0,0,1,0,2,7.969258,79.96,-3
20/09/26 12:52:48,1,2,1,0,0,1,0,2,7.969258,79.96,-3
20/09/26 12:53:07,1,3,4,0,1,2,1,0,7.936593,79.315,-2
20/09/26 12:53:07,1,3,4,0,1,2,1,0,7.936593,79.315,-2
20/09/26 12:53:08,1,3,4,0,1,2,1,0,7.936593,79.315,-2
20/09/26 12:53:22,1,0,2,0,2,3,2,1,7.95148,79.365,-3
20/09/26 12:53:22,1,0,2,0,2,3,2,1,7.95148,79.365,-3
20/09/26 12:53:22,1,0,2,0,2,3,2,1,7.95148,79.365,-3
20/09/26 12:53:40,1,2,4,0,1,3,1,1,7.918836,79.117,-3
20/09/26 12:53:40,1,2,4,0,1,3,1,1,7.918836,79.117,-3
20/09/26 12:53:40,1,2,4,0,1,3,1,1,7.918836,79.117,-3
20/09/26 12:53:57,0,3,0,0,2,3,1,1,7.824175,79.067,-3
20/09/26 12:53:57,0,3,0,0,2,3,1,1,7.824175,79.067,-3
20/09/26 12:53:57,0,3,0,0,2,3,1,1,7.824175,79.067,-3
20/09/26 12:54:12,0,0,4,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:12,0,0,4,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:12,0,0,4,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:29,1,2,0,0,3,2,1,0,7.911727,79.167,-3
20/09/26 12:54:29,1,2,0,0,3,2,1,0,7.911727,79.167,-3
20/09/26 12:54:29,1,2,0,0,3,2,1,0,7.911727,79.167,-3
20/09/26 12:54:43,0,0,3,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:43,0,0,3,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:43,0,0,3,1,2,2,1,1,7.953095,79.464,-3
20/09/26 12:54:58,1,1,2,0,3,4,1,1,7.898882,79.167,-3
20/09/26 12:54:58,1,1,2,0,3,4,1,1,7.898882,79.167,-3
20/09/26 12:54:58,1,1,2,0,3,4,1,1,7.898882,79.167,-3
