time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
19/09/26 14:43:15,0,3,3,1,2,2,1,1,7.078061,69.048,-3
19/09/26 14:43:15,0,3,3,1,2,2,1,1,7.078061,69.048,-3
19/09/26 14:43:15,0,3,3,1,2,2,1,1,7.078061,69.048,-3
19/09/26 14:43:30,0,1,0,0,1,4,2,0,7.255852,69.544,-2
19/09/26 14:43:30,0,1,0,0,1,4,2,0,7.255852,69.544,-2
19/09/26 14:43:30,0,1,0,0,1,4,2,0,7.255852,69.544,-2
19/09/26 14:43:47,0,1,2,0,1,1,0,0,7.275173,69.692,-3
19/09/26 14:43:47,0,1,2,0,1,1,0,0,7.275173,69.692,-3
19/09/26 14:43:47,0,1,2,0,1,1,0,0,7.275173,69.692,-3
19/09/26 14:44:05,0,2,3,1,2,4,0,0,7.255118,69.841,-3
19/09/26 14:44:06,0,2,3,1,2,4,0,0,7.255118,69.841,-3
19/09/26 14:44:06,0,2,3,1,2,4,0,0,7.255118,69.841,-3
19/09/26 14:44:22,1,3,2,1,2,2,2,0,7.144444,68.998,-2
19/09/26 14:44:22,1,3,2,1,2,2,2,0,7.144444,68.998,-2
19/09/26 14:44:22,1,3,2,1,2,2,2,0,7.144444,68.998,-2
19/09/26 14:44:38,0,1,0,1,0,0,2,0,7.265353,69.296,-2
19/09/26 14:44:38,0,1,0,1,0,0,2,0,7.265353,69.296,-2
19/09/26 14:44:38,0,1,0,1,0,0,2,0,7.265353,69.296,-2
19/09/26 14:44:59,0,1,4,0,0,2,1,2,7.233635,69.147,7
19/09/26 14:44:59,0,1,4,0,0,2,1,2,7.233635,69.147,7
19/09/26 14:44:59,0,1,4,0,0,2,1,2,7.233635,69.147,7
19/09/26 14:45:20,0,0,3,0,2,0,1,1,7.201525,69.196,-3
19/09/26 14:45:20,0,0,3,0,2,0,1,1,7.201525,69.196,-3
19/09/26 14:45:20,0,0,3,0,2,0,1,1,7.201525,69.196,-3
19/09/26 14:45:40,1,0,4,1,0,2,1,0,7.26882,69.296,-2
19/09/26 14:45:40,1,0,4,1,0,2,1,0,7.26882,69.296,-2
19/09/26 14:45:40,1,0,4,1,0,2,1,0,7.26882,69.296,-2
19/09/26 14:46:00,1,0,2,1,2,3,1,0,7.26882,69.296,-2
19/09/26 14:46:00,1,0,2,1,2,3,1,0,7.26882,69.296,-2
19/09/26 14:46:00,1,0,2,1,2,3,1,0,7.26882,69.296,-2
19/09/26 14:46:21,0,3,3,1,2,3,1,2,7.13961,68.899,-3
19/09/26 14:46:21,0,3,3,1,2,3,1,2,7.13961,68.899,-3
19/09/26 14:46:21,0,3,3,1,2,3,1,2,7.13961,68.899,-3
19/09/26 14:46:42,1,3,2,0,2,0,0,0,7.215203,70.04,-2
19/09/26 14:46:42,1,3,2,0,2,0,0,0,7.215203,70.04,-2
19/09/26 14:46:42,1,3,2,0,2,0,0,0,7.215203,70.04,-2
19/09/26 14:47:03,0,2,4,1,1,2,2,1,7.210449,69.147,-3
19/09/26 14:47:03,0,2,4,1,1,2,2,1,7.210449,69.147,-3
19/09/26 14:47:03,0,2,4,1,1,2,2,1,7.210449,69.147,-3
19/09/26 14:47:23,0,1,2,1,2,3,0,1,7.24361,70.139,-3
19/09/26 14:47:23,0,1,2,1,2,3,0,1,7.24361,70.139,-3
19/09/26 14:47:23,0,1,2,1,2,3,0,1,7.24361,70.139,-3
19/09/26 14:47:44,1,3,1,0,1,4,1,1,7.076427,69.444,-3
19/09/26 14:47:44,1,3,1,0,1,4,1,1,7.076427,69.444,-3
