time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
20/09/26 09:27:23,0,1,4,1,2,1,0,0,5.069013,56.895,0
20/09/26 09:27:23,0,1,4,1,2,1,0,0,5.069013,56.895,0
20/09/26 09:27:23,0,1,4,1,2,1,0,0,5.069013,56.895,0
20/09/26 09:27:53,1,1,3,0,2,1,0,2,5.026632,56.597,0
20/09/26 09:27:53,1,1,3,0,2,1,0,2,5.026632,56.597,0
20/09/26 09:27:53,1,1,3,0,2,1,0,2,5.026632,56.597,0
20/09/26 09:28:13,0,0,3,0,2,1,2,0,4.995403,55.903,0
20/09/26 09:28:13,0,0,3,0,2,1,2,0,4.995403,55.903,0
20/09/26 09:28:13,0,0,3,0,2,1,2,0,4.995403,55.903,0
20/09/26 09:28:34,1,2,4,1,1,3,1,2,4.925544,55.704,0
20/09/26 09:28:34,1,2,4,1,1,3,1,2,4.925544,55.704,0
20/09/26 09:28:34,1,2,4,1,1,3,1,2,4.925544,55.704,0
20/09/26 09:28:55,1,2,0,1,1,2,1,2,4.925544,55.704,0
20/09/26 09:28:55,1,2,0,1,1,2,1,2,4.925544,55.704,0
20/09/26 09:28:56,1,2,0,1,1,2,1,2,4.925544,55.704,0
20/09/26 09:29:17,0,1,1,1,1,2,0,1,5.031184,56.448,0
20/09/26 09:29:17,0,1,1,1,1,2,0,1,5.031184,56.448,0
20/09/26 09:29:17,0,1,1,1,1,2,0,1,5.031184,56.448,0
20/09/26 09:29:39,1,3,1,0,3,2,2,2,4.80277,55.308,12
20/09/26 09:29:39,1,3,1,0,3,2,2,2,4.80277,55.308,12
20/09/26 09:29:39,1,3,1,0,3,2,2,2,4.80277,55.308,12
20/09/26 09:29:59,0,0,0,0,3,1,0,2,5.050426,56.448,0
20/09/26 09:30:00,0,0,0,0,3,1,0,2,5.050426,56.448,0
20/09/26 09:30:00,0,0,0,0,3,1,0,2,5.050426,56.448,0
