time,params.PCM_type_Wall,params.Thickness_Wall,params.Melting_Point_Wall,params.PCM_type_Roof,params.Thickness_Roof,params.Melting_Point_Roof,params.Roof_PCM_Position,params.wall_PCM_Position,objectives.IDD,objectives.EUI ,objectives.TL
20/09/26 13:37:30,0,0,0,0,0,0,0,0,6.925739,53.621,-1
20/09/26 13:37:30,0,0,0,0,0,0,0,0,6.925739,53.621,-1
20/09/26 13:37:30,0,0,0,0,0,0,0,0,6.925739,53.621,-1
20/09/26 13:37:53,1,3,2,0,2,3,0,1,6.790665,52.48,-1
20/09/26 13:37:53,1,3,2,0,2,3,0,1,6.790665,52.48,-1
20/09/26 13:37:53,1,3,2,0,2,3,0,1,6.790665,52.48,-1
20/09/26 13:38:16,0,1,2,1,1,1,0,0,6.903503,53.522,-1
20/09/26 13:38:16,0,1,2,1,1,1,0,0,6.903503,53.522,-1
20/09/26 13:38:16,0,1,2,1,1,1,0,0,6.903503,53.522,-1
20/09/26 13:38:38,0,2,2,1,0,3,1,0,6.908153,53.472,-1
20/09/26 13:38:38,0,2,2,1,0,3,1,0,6.908153,53.472,-1
20/09/26 13:38:38,0,2,2,1,0,3,1,0,6.908153,53.472,-1
20/09/26 13:39:00,0,1,3,1,1,3,1,2,6.90155,53.274,-1
20/09/26 13:39:00,0,1,3,1,1,3,1,2,6.90155,53.274,-1
20/09/26 13:39:00,0,1,3,1,1,3,1,2,6.90155,53.274,-1
20/09/26 13:39:24,0,2,4,0,3,3,1,1,6.798683,52.579,-1
20/09/26 13:39:24,0,2,4,0,3,3,1,1,6.798683,52.579,-1
20/09/26 13:39:24,0,2,4,0,3,3,1,1,6.798683,52.579,-1
20/09/26 13:39:48,1,3,0,0,2,4,0,2,6.791243,52.431,-1
20/09/26 13:39:48,1,3,0,0,2,4,0,2,6.791243,52.431,-1
20/09/26 13:39:48,1,3,0,0,2,4,0,2,6.791243,52.431,-1
20/09/26 13:40:12,1,3,1,0,1,0,1,1,6.801971,52.877,-1
20/09/26 13:40:12,1,3,1,0,1,0,1,1,6.801971,52.877,-1
20/09/26 13:40:12,1,3,1,0,1,0,1,1,6.801971,52.877,-1
20/09/26 13:40:36,1,2,3,0,1,1,1,1,6.867282,53.274,-1
20/09/26 13:40:36,1,2,3,0,1,1,1,1,6.867282,53.274,-1
20/09/26 13:40:36,1,2,3,0,1,1,1,1,6.867282,53.274,-1
20/09/26 13:41:03,1,3,2,0,2,1,2,1,6.791163,52.431,-1
20/09/26 13:41:03,1,3,2,0,2,1,2,1,6.791163,52.431,-1
20/09/26 13:41:03,1,3,2,0,2,1,2,1,6.791163,52.431,-1
20/09/26 13:41:30,0,2,4,0,2,3,0,1,6.870214,53.026,-1
20/09/26 13:41:30,0,2,4,0,2,3,0,1,6.870214,53.026,-1
20/09/26 13:41:30,0,2,4,0,2,3,0,1,6.870214,53.026,-1
20/09/26 13:41:59,0,0,2,0,3,3,0,1,6.808439,52.679,-1
20/09/26 13:41:59,0,0,2,0,3,3,0,1,6.808439,52.679,-1
20/09/26 13:41:59,0,0,2,0,3,3,0,1,6.808439,52.679,-1
20/09/26 13:42:26,0,2,1,0,3,1,0,0,6.857074,53.125,-1
20/09/26 13:42:26,0,2,1,0,3,1,0,0,6.857074,53.125,-1
20/09/26 13:42:26,0,2,1,0,3,1,0,0,6.857074,53.125,-1
20/09/26 13:42:54,1,2,1,0,2,2,1,1,6.853087,53.075,-1
20/09/26 13:42:54,1,2,1,0,2,2,1,1,6.853087,53.075,-1
20/09/26 13:42:54,1,2,1,0,2,2,1,1,6.853087,53.075,-1
20/09/26 13:43:20,1,0,2,1,0,1,1,1,6.91649,53.72,-1
20/09/26 13:43:20,1,0,2,1,0,1,1,1,6.91649,53.72,-1
20/09/26 13:43:20,1,0,2,1,0,1,1,1,6.91649,53.72,-1
20/09/26 13:43:47,1,2,3,0,2,2,1,0,6.87681,53.224,-1
20/09/26 13:43:47,1,2,3,0,2,2,1,0,6.87681,53.224,-1
20/09/26 13:43:47,1,2,3,0,2,2,1,0,6.87681,53.224,-1
20/09/26 13:44:16,0,2,3,0,2,4,1,1,6.86977,53.423,-1
20/09/26 13:44:16,0,2,3,0,2,4,1,1,6.86977,53.423,-1
20/09/26 13:44:16,0,2,3,0,2,4,1,1,6.86977,53.423,-1
20/09/26 13:44:42,0,2,2,0,2,4,2,1,6.870772,53.274,-1
20/09/26 13:44:42,0,2,2,0,2,4,2,1,6.870772,53.274,-1
20/09/26 13:44:42,0,2,2,0,2,4,2,1,6.870772,53.274,-1
20/09/26 13:45:08,0,0,0,1,1,1,0,0,6.911139,53.522,-1
20/09/26 13:45:08,0,0,0,1,1,1,0,0,6.911139,53.522,-1
20/09/26 13:45:09,0,0,0,1,1,1,0,0,6.911139,53.522,-1
20/09/26 13:45:36,0,1,2,1,3,4,1,2,6.858617,52.877,-1
20/09/26 13:45:36,0,1,2,1,3,4,1,2,6.858617,52.877,-1
20/09/26 13:45:36,0,1,2,1,3,4,1,2,6.858617,52.877,-1
20/09/26 13:46:02,1,3,0,1,1,2,2,1,6.892183,53.274,-1
20/09/26 13:46:02,1,3,0,1,1,2,2,1,6.892183,53.274,-1
20/09/26 13:46:02,1,3,0,1,1,2,2,1,6.892183,53.274,-1
20/09/26 13:46:28,1,1,4,0,1,1,0,0,6.899751,53.472,-1
20/09/26 13:46:28,1,1,4,0,1,1,0,0,6.899751,53.472,-1
20/09/26 13:46:28,1,1,4,0,1,1,0,0,6.899751,53.472,-1
20/09/26 13:46:58,0,2,1,0,0,3,0,1,6.870214,53.026,-1
20/09/26 13:46:58,0,2,1,0,0,3,0,1,6.870214,53.026,-1
20/09/26 13:46:58,0,2,1,0,0,3,0,1,6.870214,53.026,-1
20/09/26 13:47:27,1,0,3,0,2,3,1,1,6.901937,53.373,-1
20/09/26 13:47:27,1,0,3,0,2,3,1,1,6.901937,53.373,-1
20/09/26 13:47:27,1,0,3,0,2,3,1,1,6.901937,53.373,-1
20/09/26 13:47:56,1,1,3,1,3,2,1,1,6.892303,53.323,-1
20/09/26 13:47:56,1,1,3,1,3,2,1,1,6.892303,53.323,-1
20/09/26 13:47:56,1,1,3,1,3,2,1,1,6.892303,53.323,-1
20/09/26 13:48:23,0,2,1,1,2,3,1,0,6.88509,53.323,-1
20/09/26 13:48:23,0,2,1,1,2,3,1,0,6.88509,53.323,-1
20/09/26 13:48:23,0,2,1,1,2,3,1,0,6.88509,53.323,-1
20/09/26 13:48:50,1,0,1,1,2,2,1,0,6.870373,53.175,-1
20/09/26 13:48:50,1,0,1,1,2,2,1,0,6.870373,53.175,-1
20/09/26 13:48:50,1,0,1,1,2,2,1,0,6.870373,53.175,-1
20/09/26 13:49:17,1,3,0,0,0,1,1,2,6.811083,52.728,-1
20/09/26 13:49:17,1,3,0,0,0,1,1,2,6.811083,52.728,-1
20/09/26 13:49:17,1,3,0,0,0,1,1,2,6.811083,52.728,-1
20/09/26 13:49:46,1,3,1,0,0,3,0,2,6.808139,52.48,-1
20/09/26 13:49:46,1,3,1,0,0,3,0,2,6.808139,52.48,-1
20/09/26 13:49:46,1,3,1,0,0,3,0,2,6.808139,52.48,-1
20/09/26 13:50:14,0,2,3,1,3,2,0,2,6.845403,52.877,-1
20/09/26 13:50:14,0,2,3,1,3,2,0,2,6.845403,52.877,-1
20/09/26 13:50:14,0,2,3,1,3,2,0,2,6.845403,52.877,-1
20/09/26 13:50:42,1,3,2,0,2,3,2,1,6.791163,52.431,-1
20/09/26 13:50:42,1,3,2,0,2,3,2,1,6.791163,52.431,-1
20/09/26 13:50:42,1,3,2,0,2,3,2,1,6.791163,52.431,-1
20/09/26 13:51:09,1,0,0,1,3,4,2,1,6.9176,53.72,-1
20/09/26 13:51:09,1,0,0,1,3,4,2,1,6.9176,53.72,-1
20/09/26 13:51:09,1,0,0,1,3,4,2,1,6.9176,53.72,-1
20/09/26 13:51:35,0,2,1,0,1,2,1,0,6.916251,53.522,-1
20/09/26 13:51:35,0,2,1,0,1,2,1,0,6.916251,53.522,-1
20/09/26 13:51:35,0,2,1,0,1,2,1,0,6.916251,53.522,-1
20/09/26 13:52:01,0,1,3,1,1,0,1,1,6.899693,53.373,-1
20/09/26 13:52:01,0,1,3,1,1,0,1,1,6.899693,53.373,-1
20/09/26 13:52:01,0,1,3,1,1,0,1,1,6.899693,53.373,-1
20/09/26 13:52:29,0,0,0,0,2,3,0,0,6.890232,53.373,-1
20/09/26 13:52:29,0,0,0,0,2,3,0,0,6.890232,53.373,-1
20/09/26 13:52:29,0,0,0,0,2,3,0,0,6.890232,53.373,-1
20/09/26 13:52:56,1,2,3,1,3,1,1,1,6.846685,52.976,-1
20/09/26 13:52:56,1,2,3,1,3,1,1,1,6.846685,52.976,-1
20/09/26 13:52:56,1,2,3,1,3,1,1,1,6.846685,52.976,-1
20/09/26 13:53:23,1,1,2,1,2,2,2,1,6.846839,52.927,-1
20/09/26 13:53:23,1,1,2,1,2,2,2,1,6.846839,52.927,-1
20/09/26 13:53:23,1,1,2,1,2,2,2,1,6.846839,52.927,-1
20/09/26 13:53:49,1,0,4,0,2,2,2,1,6.900463,53.274,-1
20/09/26 13:53:49,1,0,4,0,2,2,2,1,6.900463,53.274,-1
20/09/26 13:53:50,1,0,4,0,2,2,2,1,6.900463,53.274,-1
20/09/26 13:54:16,1,0,0,1,0,1,1,2,6.917419,53.72,-1
20/09/26 13:54:16,1,0,0,1,0,1,1,2,6.917419,53.72,-1
20/09/26 13:54:16,1,0,0,1,0,1,1,2,6.917419,53.72,-1
20/09/26 13:54:42,1,1,3,0,2,3,1,2,6.884813,53.224,-1
20/09/26 13:54:42,1,1,3,0,2,3,1,2,6.884813,53.224,-1
20/09/26 13:54:42,1,1,3,0,2,3,1,2,6.884813,53.224,-1
20/09/26 13:55:10,1,3,0,0,2,1,1,0,6.84386,52.927,-1
20/09/26 13:55:10,1,3,0,0,2,1,1,0,6.84386,52.927,-1
20/09/26 13:55:10,1,3,0,0,2,1,1,0,6.84386,52.927,-1
20/09/26 13:55:36,0,2,3,1,2,2,0,2,6.866214,52.927,-1
20/09/26 13:55:36,0,2,3,1,2,2,0,2,6.866214,52.927,-1
20/09/26 13:55:36,0,2,3,1,2,2,0,2,6.866214,52.927,-1
20/09/26 13:56:03,1,2,0,1,1,2,1,1,6.846685,52.976,-1
20/09/26 13:56:03,1,2,0,1,1,2,1,1,6.846685,52.976,-1
20/09/26 13:56:03,1,2,0,1,1,2,1,1,6.846685,52.976,-1
20/09/26 13:56:29,1,0,0,0,3,1,1,1,6.876501,53.373,-1
20/09/26 13:56:29,1,0,0,0,3,1,1,1,6.876501,53.373,-1
20/09/26 13:56:29,1,0,0,0,3,1,1,1,6.876501,53.373,-1
20/09/26 13:56:55,0,1,1,0,0,1,2,2,6.903613,53.224,-1
20/09/26 13:56:55,0,1,1,0,0,1,2,2,6.903613,53.224,-1
20/09/26 13:56:55,0,1,1,0,0,1,2,2,6.903613,53.224,-1
20/09/26 13:57:22,0,3,1,0,3,2,0,1,6.808439,52.679,-1
20/09/26 13:57:22,0,3,1,0,3,2,0,1,6.808439,52.679,-1
20/09/26 13:57:23,0,3,1,0,3,2,0,1,6.808439,52.679,-1
20/09/26 13:57:50,0,3,3,1,2,1,1,1,6.81335,52.827,-1
20/09/26 13:57:50,0,3,3,1,2,1,1,1,6.81335,52.827,-1
20/09/26 13:57:50,0,3,3,1,2,1,1,1,6.81335,52.827,-1
20/09/26 13:58:15,0,0,2,0,1,1,0,2,6.900857,53.423,-1
20/09/26 13:58:16,0,0,2,0,1,1,0,2,6.900857,53.423,-1
20/09/26 13:58:16,0,0,2,0,1,1,0,2,6.900857,53.423,-1
20/09/26 13:58:42,0,2,1,0,1,2,2,0,6.914527,53.522,-1
20/09/26 13:58:42,0,2,1,0,1,2,2,0,6.914527,53.522,-1
20/09/26 13:58:42,0,2,1,0,1,2,2,0,6.914527,53.522,-1
20/09/26 13:59:08,0,1,0,1,0,2,1,2,6.911078,53.323,-1
20/09/26 13:59:08,0,1,0,1,0,2,1,2,6.911078,53.323,-1
20/09/26 13:59:08,0,1,0,1,0,2,1,2,6.911078,53.323,-1
20/09/26 13:59:35,1,2,2,1,1,1,0,0,6.867564,53.274,-1
